,"Bogotá, Distrito Capital","Medellín, Antioquia","Cali, Valle del Cauca","Barranquilla, Atlantico","Cartagena de Indias, Bolívar","Bucaramanga, Santander","Cúcuta, Norte de Santander","Pereira, Risaralda","Manizales, Caldas","Ibagué, Tolima","Santa Marta, Magdalena","Villavicencio, Meta","Neiva, Huila"
"Bogotá, Distrito Capital",0.0,417.42,447.76,971.37,1038.66,402.1,577.67,309.8,292.91,196.75,927.16,113.64,298.31
"Medellín, Antioquia",417.42,0.0,414.42,695.13,647.92,398.48,595.77,210.94,196.73,323.95,787.97,532.04,527.19
"Cali, Valle del Cauca",447.76,414.42,0.0,1109.55,1062.34,766.71,964.0,207.98,254.4,250.98,1197.26,535.21,387.94
"Barranquilla, Atlantico",971.37,695.13,1109.55,0.0,128.49,575.06,710.23,906.07,891.87,998.29,98.0,1107.55,1171.04
"Cartagena de Indias, Bolívar",1038.66,647.92,1062.34,128.49,0.0,642.35,777.52,858.86,844.66,971.88,230.72,1164.82,1228.31
"Bucaramanga, Santander",402.1,398.48,766.71,575.06,642.35,0.0,197.29,557.75,511.8,523.53,530.85,631.21,696.27
"Cúcuta, Norte de Santander",577.67,595.77,964.0,710.23,777.52,197.29,0.0,755.05,709.09,720.82,666.02,744.94,875.86
"Pereira, Risaralda",309.8,210.94,207.98,906.07,858.86,557.75,755.05,0.0,50.93,113.02,988.3,397.25,316.26
"Manizales, Caldas",292.91,196.73,254.4,891.87,844.66,511.8,709.09,50.93,0.0,163.94,942.35,407.53,367.18
"Ibagué, Tolima",196.75,323.95,250.98,998.29,971.88,523.53,720.82,113.02,163.94,0.0,954.07,292.02,211.03
"Santa Marta, Magdalena",927.16,787.97,1197.26,98.0,230.72,530.85,666.02,988.3,942.35,954.07,0.0,1063.34,1126.82
"Villavicencio, Meta",113.64,532.04,535.21,1107.55,1164.82,631.21,744.94,397.25,407.53,292.02,1063.34,0.0,393.58
"Neiva, Huila",298.31,527.19,387.94,1171.04,1228.31,696.27,875.86,316.26,367.18,211.03,1126.82,393.58,0.0
